date,firstprize,d1,d2,d3,d4,d5,d6,sum,odd,even
2010-03-01,215227,2,1,5,2,2,7,19,3,3
2010-03-16,364222,3,6,4,2,2,2,19,1,5
2010-04-01,959517,9,5,9,5,1,7,36,6,0
2010-04-16,211743,2,1,1,7,4,3,18,4,2
2010-05-02,360371,3,6,0,3,7,1,20,4,2
2010-05-16,480012,4,8,0,0,1,2,15,1,5
2010-06-01,444874,4,4,4,8,7,4,31,1,5
2010-06-16,500104,5,0,0,1,0,4,10,2,4
2010-07-01,480239,4,8,0,2,3,9,26,2,4
2010-07-16,180387,1,8,0,3,8,7,27,3,3
2010-08-01,210008,2,1,0,0,0,8,11,1,5
2010-08-16,911097,9,1,1,0,9,7,27,5,1
2010-09-01,354656,3,5,4,6,5,6,29,3,3
2010-09-16,017422,0,1,7,4,2,2,16,2,4
2010-10-01,488372,4,8,8,3,7,2,32,2,4
2010-10-16,621377,6,2,1,3,7,7,26,4,2
2010-11-01,191100,1,9,1,1,0,0,12,4,2
2010-11-16,813993,8,1,3,9,9,3,33,5,1
2010-12-01,181752,1,8,1,7,5,2,24,4,2
2010-12-16,334380,3,3,4,3,8,0,21,3,3
2010-12-30,884112,8,8,4,1,1,2,24,2,4
2011-01-16,281062,2,8,1,0,6,2,19,1,5
2011-02-01,610089,6,1,0,0,8,9,24,2,4
2011-02-16,481746,4,8,1,7,4,6,30,2,4
2011-03-01,656037,6,5,6,0,3,7,27,3,3
2011-03-16,593331,5,9,3,3,3,1,24,6,0
2011-04-01,814931,8,1,4,9,3,1,26,4,2
2011-04-16,825988,8,2,5,9,8,8,40,2,4
2011-05-02,054136,0,5,4,1,3,6,19,3,3
2011-05-16,406417,4,0,6,4,1,7,22,2,4
2011-06-01,562370,5,6,2,3,7,0,23,3,3
2011-06-16,351276,3,5,1,2,7,6,24,4,2
2011-07-01,622953,6,2,2,9,5,3,27,3,3
2011-07-16,116556,1,1,6,5,5,6,24,4,2
2011-08-01,218756,2,1,8,7,5,6,29,3,3
2011-08-16,536960,5,3,6,9,6,0,29,3,3
2011-09-01,724533,7,2,4,5,3,3,24,4,2
2011-09-16,731198,7,3,1,1,9,8,29,5,1
2011-10-01,511052,5,1,1,0,5,2,14,4,2
2011-10-16,955756,9,5,5,7,5,6,37,5,1
2011-11-01,805540,8,0,5,5,4,0,22,2,4
2011-11-16,997777,9,9,7,7,7,7,46,6,0
2011-12-01,408147,4,0,8,1,4,7,24,2,4
2011-12-16,884178,8,8,4,1,7,8,36,2,4
2011-12-30,526402,5,2,6,4,0,2,19,1,5
2012-01-16,451445,4,5,1,4,4,5,23,3,3
2012-02-01,320605,3,2,0,6,0,5,16,2,4
2012-02-16,648684,6,4,8,6,8,4,36,0,6
2012-03-01,222518,2,2,2,5,1,8,20,2,4
2012-03-16,607064,6,0,7,0,6,4,23,1,5
2012-04-01,257562,2,5,7,5,6,2,27,3,3
2012-04-16,583470,5,8,3,4,7,0,27,3,3
2012-05-02,889501,8,8,9,5,0,1,31,3,3
2012-05-16,814418,8,1,4,4,1,8,26,2,4
2012-06-01,882727,8,8,2,7,2,7,34,2,4
2012-06-16,159373,1,5,9,3,7,3,28,6,0
2012-07-01,915900,9,1,5,9,0,0,24,4,2
2012-07-16,904050,9,0,4,0,5,0,18,2,4
2012-08-01,895590,8,9,5,5,9,0,36,4,2
2012-08-16,683877,6,8,3,8,7,7,39,3,3
2012-09-01,329997,3,2,9,9,9,7,39,5,1
2012-09-16,540143,5,4,0,1,4,3,17,3,3
2012-10-01,124025,1,2,4,0,2,5,14,2,4
2012-10-16,281343,2,8,1,3,4,3,21,3,3
2012-11-01,524694,5,2,4,6,9,4,30,2,4
2012-11-16,639500,6,3,9,5,0,0,23,3,3
2012-12-01,110443,1,1,0,4,4,3,13,3,3
2012-12-16,529524,5,2,9,5,2,4,27,3,3
2012-12-30,302358,3,0,2,3,5,8,21,3,3
2013-01-16,820981,8,2,0,9,8,1,28,2,4
2013-02-01,565566,5,6,5,5,6,6,33,3,3
2013-02-16,368257,3,6,8,2,5,7,31,3,3
2013-03-01,976241,9,7,6,2,4,1,29,3,3
2013-03-16,968433,9,6,8,4,3,3,33,3,3
2013-04-01,571688,5,7,1,6,8,8,35,3,3
2013-04-16,843846,8,4,3,8,4,6,33,1,5
2013-05-02,603458,6,0,3,4,5,8,26,2,4
2013-05-16,687125,6,8,7,1,2,5,29,3,3
2013-06-01,935489,9,3,5,4,8,9,38,4,2
2013-06-16,289673,2,8,9,6,7,3,35,3,3
2013-07-01,646905,6,4,6,9,0,5,30,2,4
2013-07-16,566996,5,6,6,9,9,6,41,3,3
2013-08-01,356435,3,5,6,4,3,5,26,4,2
2013-08-16,321327,3,2,1,3,2,7,18,4,2
2013-09-01,548123,5,4,8,1,2,3,23,3,3
2013-09-16,562684,5,6,2,6,8,4,31,1,5
2013-10-01,647882,6,4,7,8,8,2,35,1,5
2013-10-16,963289,9,6,3,2,8,9,37,3,3
2013-11-01,739804,7,3,9,8,0,4,31,3,3
2013-11-16,806925,8,0,6,9,2,5,30,2,4
2013-12-01,168795,1,6,8,7,9,5,36,4,2
2013-12-16,341767,3,4,1,7,6,7,28,4,2
2013-12-30,561072,5,6,1,0,7,2,21,3,3
2014-01-16,306902,3,0,6,9,0,2,20,2,4
2014-02-01,180149,1,8,0,1,4,9,23,3,3
2014-02-16,384245,3,8,4,2,4,5,26,2,4
2014-03-01,906318,9,0,6,3,1,8,27,3,3
2014-03-16,531404,5,3,1,4,0,4,17,3,3
2014-04-01,028866,0,2,8,8,6,6,30,0,6
2014-04-16,153406,1,5,3,4,0,6,19,3,3
2014-05-02,103297,1,0,3,2,9,7,22,4,2
2014-05-16,087523,0,8,7,5,2,3,25,3,3
2014-06-01,781198,7,8,1,1,9,8,34,4,2
2014-06-16,673920,6,7,3,9,2,0,27,3,3
2014-07-01,378477,3,7,8,4,7,7,36,4,2
2014-07-16,468728,4,6,8,7,2,8,35,1,5
2014-08-01,766391,7,6,6,3,9,1,32,4,2
2014-08-16,662842,6,6,2,8,4,2,28,0,6
2014-09-01,856763,8,5,6,7,6,3,35,3,3
2014-09-16,772269,7,7,2,2,6,9,33,3,3
2014-10-01,375615,3,7,5,6,1,5,27,5,1
2014-10-16,656409,6,5,6,4,0,9,30,2,4
2014-11-01,206608,2,0,6,6,0,8,22,0,6
2014-11-16,479804,4,7,9,8,0,4,32,2,4
2014-12-01,480449,4,8,0,4,4,9,29,1,5
2014-12-16,948354,9,4,8,3,5,4,33,3,3
2014-12-30,461704,4,6,1,7,0,4,22,2,4
2015-01-16,244351,2,4,4,3,5,1,19,3,3
2015-02-01,155537,1,5,5,5,3,7,26,6,0
2015-02-16,001864,0,0,1,8,6,4,19,1,5
2015-03-01,240237,2,4,0,2,3,7,18,2,4
2015-03-16,048151,0,4,8,1,5,1,19,3,3
2015-04-01,605704,6,0,5,7,0,4,22,2,4
2015-04-16,506260,5,0,6,2,6,0,19,1,5
2015-05-02,543466,5,4,3,4,6,6,28,2,4
2015-05-16,011421,0,1,1,4,2,1,9,3,3
2015-06-02,388881,3,8,8,8,8,1,36,2,4
2015-06-16,644742,6,4,4,7,4,2,27,1,5
2015-07-01,759049,7,5,9,0,4,9,34,4,2
2015-07-16,121507,1,2,1,5,0,7,16,4,2
2015-08-01,518677,5,1,8,6,7,7,34,4,2
2015-08-16,033363,0,3,3,3,6,3,18,4,2
2015-09-01,021094,0,2,1,0,9,4,16,2,4
2015-09-16,743148,7,4,3,1,4,8,27,3,3
2015-10-01,594825,5,9,4,8,2,5,33,3,3
2015-10-16,968630,9,6,8,6,3,0,32,2,4
2015-11-01,361211,3,6,1,2,1,1,14,4,2
2015-11-16,795283,7,9,5,2,8,3,34,4,2
2015-12-01,915350,9,1,5,3,5,0,23,5,1
2015-12-17,930255,9,3,0,2,5,5,24,4,2
2015-12-30,008217,0,0,8,2,1,7,18,2,4
2016-01-17,304371,3,0,4,3,7,1,18,4,2
2016-02-01,927800,9,2,7,8,0,0,26,2,4
2016-02-16,356364,3,5,6,3,6,4,27,3,3
2016-03-01,439686,4,3,9,6,8,6,36,2,4
2016-03-16,134918,1,3,4,9,1,8,26,4,2
2016-04-01,066720,0,6,6,7,2,0,21,1,5
2016-04-16,221609,2,2,1,6,0,9,20,2,4
2016-05-02,399459,3,9,9,4,5,9,39,5,1
2016-05-16,141737,1,4,1,7,3,7,23,5,1
2016-06-01,511825,5,1,1,8,2,5,22,4,2
2016-06-16,073816,0,7,3,8,1,6,25,3,3
2016-07-01,082460,0,8,2,4,6,0,20,0,6
2016-07-16,449764,4,4,9,7,6,4,34,2,4
2016-08-01,272932,2,7,2,9,3,2,25,3,3
2016-08-16,254004,2,5,4,0,0,4,15,1,5
2016-09-01,638684,6,3,8,6,8,4,35,1,5
2016-09-16,240650,2,4,0,6,5,0,17,1,5
2016-10-01,887102,8,8,7,1,0,2,26,2,4
2016-10-16,571947,5,7,1,9,4,7,33,5,1
2016-11-01,785438,7,8,5,4,3,8,35,3,3
2016-11-16,858383,8,5,8,3,8,3,35,3,3
2016-12-01,086069,0,8,6,0,6,9,29,1,5
2016-12-16,435286,4,3,5,2,8,6,28,2,4
2016-12-30,377712,3,7,7,7,1,2,27,5,1
2017-01-17,145157,1,4,5,1,5,7,23,5,1
2017-02-01,054672,0,5,4,6,7,2,24,2,4
2017-02-16,229116,2,2,9,1,1,6,21,3,3
2017-03-01,978453,9,7,8,4,5,3,36,4,2
2017-03-16,273863,2,7,3,8,6,3,29,3,3
2017-04-01,392785,3,9,2,7,8,5,34,4,2
2017-04-16,816729,8,1,6,7,2,9,33,3,3
2017-05-02,008656,0,0,8,6,5,6,25,1,5
2017-05-16,454891,4,5,4,8,9,1,31,3,3
2017-06-01,053630,0,5,3,6,3,0,17,3,3
2017-06-16,943142,9,4,3,1,4,2,23,3,3
2017-07-01,112360,1,1,2,3,6,0,13,3,3
2017-07-16,820327,8,2,0,3,2,7,22,2,4
2017-08-01,756519,7,5,6,5,1,9,33,5,1
2017-08-16,715431,7,1,5,4,3,1,21,5,1
2017-09-01,143224,1,4,3,2,2,4,16,2,4
2017-09-16,170143,1,7,0,1,4,3,16,4,2
2017-10-01,880714,8,8,0,7,1,4,28,2,4
2017-10-16,413494,4,1,3,4,9,4,25,3,3
2017-11-01,533726,5,3,3,7,2,6,26,4,2
2017-11-16,292391,2,9,2,3,9,1,26,4,2
2017-12-01,451005,4,5,1,0,0,5,15,3,3
2017-12-16,955596,9,5,5,5,9,6,39,5,1
2017-12-30,911234,9,1,1,2,3,4,20,4,2
2018-01-17,203823,2,0,3,8,2,3,18,2,4
2018-02-01,026853,0,2,6,8,5,3,24,2,4
2018-02-16,309915,3,0,9,9,1,5,27,5,1
2018-03-02,759415,7,5,9,4,1,5,31,5,1
2018-03-16,218559,2,1,8,5,5,9,30,4,2
2018-04-01,412073,4,1,2,0,7,3,17,3,3
2018-04-16,739229,7,3,9,2,2,9,32,4,2
2018-05-02,248038,2,4,8,0,3,8,25,1,5
2018-05-16,075629,0,7,5,6,2,9,29,3,3
2018-06-01,988117,9,8,8,1,1,7,34,4,2
2018-06-16,223131,2,2,3,1,3,1,12,4,2
2018-07-01,963623,9,6,3,6,2,3,29,3,3
2018-07-16,596324,5,9,6,3,2,4,29,3,3
2018-08-01,386602,3,8,6,6,0,2,25,1,5
2018-08-16,586117,5,8,6,1,1,7,28,4,2
2018-09-01,734510,7,3,4,5,1,0,20,4,2
2018-09-16,149760,1,4,9,7,6,0,27,3,3
2018-10-01,452643,4,5,2,6,4,3,24,2,4
2018-10-16,200515,2,0,0,5,1,5,13,3,3
2018-11-01,149840,1,4,9,8,4,0,26,2,4
2018-11-16,989903,9,8,9,9,0,3,38,4,2
2018-12-01,021840,0,2,1,8,4,0,15,1,5
2018-12-16,356564,3,5,6,5,6,4,29,3,3
2018-12-30,735867,7,3,5,8,6,7,36,4,2
2019-01-17,197079,1,9,7,0,7,9,33,5,1
2019-02-01,967134,9,6,7,1,3,4,30,4,2
2019-02-16,074824,0,7,4,8,2,4,25,1,5
2019-03-01,345650,3,4,5,6,5,0,23,3,3
2019-03-16,724628,7,2,4,6,2,8,29,1,5
2019-04-01,109767,1,0,9,7,6,7,30,4,2
2019-04-16,570331,5,7,0,3,3,1,19,5,1
2019-05-02,061324,0,6,1,3,2,4,16,2,4
2019-05-16,962526,9,6,2,5,2,6,30,2,4
2019-06-01,516461,5,1,6,4,6,1,23,3,3
2019-06-16,174055,1,7,4,0,5,5,22,4,2
2019-07-01,943647,9,4,3,6,4,7,33,3,3
2019-07-15,369765,3,6,9,7,6,5,36,4,2
2019-08-01,387006,3,8,7,0,0,6,24,2,4
2019-08-16,775476,7,7,5,4,7,6,36,4,2
2019-09-01,798787,7,9,8,7,8,7,46,4,2
2019-09-16,340388,3,4,0,3,8,8,26,2,4
2019-10-01,691197,6,9,1,1,9,7,33,5,1
2019-10-16,812564,8,1,2,5,6,4,26,2,4
2019-11-01,967375,9,6,7,3,7,5,37,5,1
2019-11-16,017223,0,1,7,2,2,3,15,3,3
2019-12-01,453522,4,5,3,5,2,2,21,3,3
2019-12-16,529924,5,2,9,9,2,4,31,3,3
2019-12-30,510541,5,1,0,5,4,1,16,4,2
2020-01-17,491774,4,9,1,7,7,4,32,4,2
2020-02-01,589227,5,8,9,2,2,7,33,3,3
2020-02-16,781403,7,8,1,4,0,3,23,3,3
2020-03-01,875938,8,7,5,9,3,8,40,4,2
2020-03-16,503446,5,0,3,4,4,6,22,2,4
2020-04-01,051095,0,5,1,0,9,5,20,4,2
2020-06-01,831567,8,3,1,5,6,7,30,4,2
2020-06-16,516967,5,1,6,9,6,7,34,4,2
2020-07-01,347258,3,4,7,2,5,8,29,3,3
2020-07-16,873286,8,7,3,2,8,6,34,2,4
2020-08-01,569391,5,6,9,3,9,1,33,5,1
2020-08-16,945811,9,4,5,8,1,1,28,4,2
2020-09-01,999997,9,9,9,9,9,7,52,6,0
2020-09-16,244083,2,4,4,0,8,3,21,1,5
2020-10-01,837893,8,3,7,8,9,3,38,4,2
2020-10-16,286051,2,8,6,0,5,1,22,2,4
2020-11-01,506404,5,0,6,4,0,4,19,1,5
2020-11-16,972661,9,7,2,6,6,1,31,3,3
2020-12-01,100994,1,0,0,9,9,4,23,3,3
2020-12-16,201303,2,0,1,3,0,3,9,3,3
2020-12-30,803628,8,0,3,6,2,8,27,1,5
2021-01-17,384395,3,8,4,3,9,5,32,4,2
2021-02-01,912307,9,1,2,3,0,7,22,4,2
2021-02-16,424603,4,2,4,6,0,3,19,1,5
2021-03-01,835538,8,3,5,5,3,8,32,4,2
2021-03-16,890422,8,9,0,4,2,2,25,1,5
2021-04-01,472270,4,7,2,2,7,0,22,2,4
2021-04-16,100787,1,0,0,7,8,7,23,3,3
2021-05-02,501272,5,0,1,2,7,2,17,3,3
2021-05-16,684579,6,8,4,5,7,9,39,3,3
2021-06-01,292972,2,9,2,9,7,2,31,3,3
2021-06-16,691861,6,9,1,8,6,1,31,3,3
2021-07-01,713517,7,1,3,5,1,7,24,6,0
2021-07-16,556725,5,5,6,7,2,5,30,4,2
2021-08-01,910261,9,1,0,2,6,1,19,3,3
2021-08-16,046750,0,4,6,7,5,0,22,2,4
2021-09-01,114475,1,1,4,4,7,5,22,4,2
2021-09-16,070935,0,7,0,9,3,5,24,4,2
2021-10-01,578171,5,7,8,1,7,1,29,5,1
2021-10-16,386372,3,8,6,3,7,2,29,3,3
2021-11-01,045037,0,4,5,0,3,7,19,3,3
2021-11-16,032761,0,3,2,7,6,1,19,3,3
2021-12-01,077258,0,7,7,2,5,8,29,3,3
2021-12-16,639235,6,3,9,2,3,5,28,4,2
2021-12-30,819068,8,1,9,0,6,8,32,2,4
2022-01-17,880159,8,8,0,1,5,9,31,3,3
2022-02-01,944308,9,4,4,3,0,8,28,2,4
2022-02-17,098597,0,9,8,5,9,7,38,4,2
2022-03-01,061905,0,6,1,9,0,5,21,3,3
2022-03-16,737867,7,3,7,8,6,7,38,4,2
2022-04-01,970618,9,7,0,6,1,8,31,3,3
2022-04-16,395919,3,9,5,9,1,9,36,6,0
2022-05-02,658642,6,5,8,6,4,2,31,1,5
2022-05-16,155012,1,5,5,0,1,2,14,4,2
2022-06-01,319196,3,1,9,1,9,6,29,5,1
2022-06-16,361807,3,6,1,8,0,7,25,3,3
2022-07-01,981417,9,8,1,4,1,7,30,4,2
2022-07-16,620405,6,2,0,4,0,5,17,1,5
2022-08-01,436594,4,3,6,5,9,4,31,3,3
2022-08-16,331583,3,3,1,5,8,3,23,5,1
2022-09-01,929332,9,2,9,3,3,2,28,4,2
2022-09-16,943703,9,4,3,7,0,3,26,4,2
2022-10-01,484669,4,8,4,6,6,9,37,1,5
2022-10-16,613106,6,1,3,1,0,6,17,3,3
2022-11-01,913106,9,1,3,1,0,6,20,4,2
2022-11-16,121789,1,2,1,7,8,9,28,4,2
2022-12-01,375805,3,7,5,8,0,5,28,4,2
2022-12-16,845093,8,4,5,0,9,3,29,3,3
2022-12-30,157196,1,5,7,1,9,6,29,5,1
2023-01-17,812519,8,1,2,5,1,9,26,4,2
2023-02-01,297411,2,9,7,4,1,1,24,4,2
2023-02-16,590417,5,9,0,4,1,7,26,4,2
2023-03-01,417652,4,1,7,6,5,2,25,3,3
2023-03-16,025873,0,2,5,8,7,3,25,3,3
2023-04-01,087907,0,8,7,9,0,7,31,3,3
2023-04-16,984906,9,8,4,9,0,6,36,2,4
2023-05-02,843019,8,4,3,0,1,9,25,3,3
2023-05-16,132903,1,3,2,9,0,3,18,4,2
2023-06-01,125272,1,2,5,2,7,2,19,3,3
2023-06-16,264872,2,6,4,8,7,2,29,1,5
2023-07-01,922605,9,2,2,6,0,5,24,2,4
2023-07-16,169530,1,6,9,5,3,0,24,4,2
2023-07-31,260453,2,6,0,4,5,3,20,2,4
2023-08-16,471782,4,7,1,7,8,2,29,3,3
2023-09-01,915478,9,1,5,4,7,8,34,4,2
2023-09-16,320812,3,2,0,8,1,2,16,2,4
2023-10-01,727202,7,2,7,2,0,2,20,2,4
2023-10-16,931446,9,3,1,4,4,6,27,3,3
2023-11-01,743951,7,4,3,9,5,1,29,5,1
2023-11-16,557990,5,5,7,9,9,0,35,5,1
2023-12-01,251097,2,5,1,0,9,7,24,4,2
2023-12-16,356757,3,5,6,7,5,7,33,5,1
2023-12-30,625544,6,2,5,5,4,4,26,2,4
2024-01-17,105979,1,0,5,9,7,9,31,5,1
2024-02-01,607063,6,0,7,0,6,3,22,2,4
2024-02-16,941395,9,4,1,3,9,5,31,5,1
2024-03-01,253603,2,5,3,6,0,3,19,3,3
2024-03-16,997626,9,9,7,6,2,6,39,3,3
2024-04-01,803481,8,0,3,4,8,1,24,2,4
2024-04-16,943598,9,4,3,5,9,8,38,4,2
2024-05-02,980116,9,8,0,1,1,6,25,3,3
2024-05-16,205690,2,0,5,6,9,0,22,2,4
2024-06-01,530593,5,3,0,5,9,3,25,5,1
2024-06-16,518504,5,1,8,5,0,4,23,3,3
2024-07-01,434503,4,3,4,5,0,3,19,3,3
2024-07-16,367336,3,6,7,3,3,6,28,4,2
2024-08-01,407041,4,0,7,0,4,1,16,2,4
2024-08-16,095867,0,9,5,8,6,7,35,3,3
2024-09-01,199606,1,9,9,6,0,6,31,3,3
2024-09-16,608662,6,0,8,6,6,2,28,0,6
2024-10-01,718665,7,1,8,6,6,5,33,3,3
2024-10-16,482962,4,8,2,9,6,2,31,1,5
2024-11-01,536044,5,3,6,0,4,4,22,2,4
2024-11-16,187221,1,8,7,2,2,1,21,3,3
2024-12-01,669843,6,6,9,8,4,3,36,2,4
2024-12-16,097863,0,9,7,8,6,3,33,3,3
2025-01-02,730209,7,3,0,2,0,9,21,3,3
2025-01-17,807779,8,0,7,7,7,9,38,4,2
